group,b,N,batch,factor_idx,log_n,time_ms
single_factor,2,4096,512,1,11,0.17556480407714845
single_factor,2,4096,512,2,11,0.17561599731445313
single_factor,2,4096,512,3,11,0.17530879974365235
single_factor,2,4096,512,4,11,0.17743871688842774
single_factor,2,4096,512,5,11,0.1782067108154297
single_factor,2,4096,512,6,11,0.17960960388183594
single_factor,2,4096,512,7,11,0.18165760040283202
single_factor,2,4096,512,8,11,0.1818111991882324
single_factor,2,4096,512,9,11,0.1838591957092285
single_factor,2,4096,512,10,11,0.1816268730163574
single_factor,2,4096,1024,0,11,0.34408447265625
single_factor,2,4096,1024,1,11,0.359628791809082
single_factor,2,4096,1024,2,11,0.35956737518310544
single_factor,2,4096,1024,3,11,0.35900417327880857
single_factor,2,4096,1024,4,11,0.3607551956176758
single_factor,2,4096,1024,5,11,0.36159488677978513
single_factor,2,4096,1024,6,11,0.3623628616333008
single_factor,2,4096,1024,7,11,0.3647999954223633
single_factor,2,4096,1024,8,11,0.36380672454833984
single_factor,2,4096,1024,9,11,0.3672166442871094
single_factor,2,4096,1024,10,11,0.3623014450073242
single_factor,2,4096,2048,0,11,0.6825164794921875
single_factor,2,4096,2048,1,11,0.7026995086669922
single_factor,2,4096,2048,2,11,0.7170764923095703
single_factor,2,4096,2048,3,11,0.7009792327880859
single_factor,2,4096,2048,4,11,0.7173939514160156
single_factor,2,4096,2048,5,11,0.7071129608154297
single_factor,2,4096,2048,6,11,0.7104716491699219
single_factor,2,4096,2048,7,11,0.7096115112304687
single_factor,2,4096,2048,8,11,0.7063552093505859
single_factor,2,4096,2048,9,11,0.7124992370605469
single_factor,2,4096,2048,10,11,0.717291488647461
single_factor,2,4096,4096,0,11,1.3283737182617188
single_factor,2,4096,4096,1,11,1.3875712585449218
single_factor,2,4096,4096,2,11,1.3877145385742187
single_factor,2,4096,4096,3,11,1.38176513671875
single_factor,2,4096,4096,4,11,1.3896908569335937
single_factor,2,4096,4096,5,11,1.4022451782226562
single_factor,2,4096,4096,6,11,1.4031462097167968
single_factor,2,4096,4096,7,11,1.405306854248047
single_factor,2,4096,4096,8,11,1.3959373474121093
single_factor,2,4096,4096,9,11,1.4092697143554687
single_factor,2,4096,4096,10,11,1.3898751831054688
single_factor,4,512,1,0,7,0.10196991920471192
single_factor,4,512,1,1,7,0.12914688110351563
single_factor,4,512,1,2,7,0.12867584228515624
single_factor,4,512,1,3,7,0.12841983795166015
single_factor,4,512,1,4,7,0.12875776290893554
