patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[2, 192, 192, 1]]",25088,kernel,0.000174738,0.000174738,0,[0.0001747383177280426],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 192, 768, 1]]",25088,kernel,0.000555775,0.000555775,0,[0.00055577477440238],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 256, 64, 1]]",25088,kernel,0.00014273,0.00014273,0,[0.00014273041859269142],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 256, 256, 1]]",25088,kernel,0.000271126,0.000271126,0,[0.0002711264044046402],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 256, 1024, 1]]",25088,kernel,0.000922093,0.000922093,0,[0.0009220925718545914],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 384, 96, 1]]",25088,kernel,0.000201068,0.000201068,0,[0.0002010682411491871],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 384, 384, 1]]",25088,kernel,0.000554852,0.000554852,0,[0.0005548515543341636],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 512, 128, 1]]",25088,kernel,0.000310469,0.000310469,0,[0.0003104686737060547],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 512, 512, 1]]",25088,kernel,0.000937211,0.000937211,0,[0.0009372114017605781],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 768, 192, 1]]",25088,kernel,0.000600016,0.000600016,0,[0.0006000159308314323],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 768, 768, 1]]",25088,kernel,0.002024439,0.002024439,0,[0.0020244394429028032],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 1024, 256, 1]]",25088,kernel,0.001001607,0.001001607,0,[0.0010016067698597909],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[2, 1024, 1024, 1]]",25088,kernel,0.003682931,0.003682931,0,[0.0036829306930303576],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[3, 48, 48, 1]]",25088,kernel,5.76E-05,5.76E-05,0,[5.7556070387363434e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[3, 48, 192, 1]]",25088,kernel,0.000122701,0.000122701,0,[0.00012270063161849975],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[3, 64, 64, 1]]",25088,kernel,6.71E-05,6.71E-05,0,[6.706360727548599e-05],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[3, 64, 256, 1]]",25088,kernel,0.000156235,0.000156235,0,[0.0001562349870800972],bs_last,fp16,NVIDIA_A100-PCIE-40GB
